               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,             0.02984,            0.016935,           0.0031181,             0.96432,             0.97148,             0.98251,             0.60297,            0.023587,           0.0090034,           0.0021602,             0.00307,             0.00307,             0.00307
                  72,            0.029053,             0.01642,           0.0037694,              0.9646,             0.97436,             0.98309,             0.59585,             0.02336,            0.008945,           0.0020618,            0.002971,            0.002971,            0.002971
                  73,            0.027214,            0.016848,           0.0040246,             0.97391,             0.95333,             0.98096,             0.59533,            0.024018,           0.0090369,           0.0020807,            0.002872,            0.002872,            0.002872
                  74,            0.027398,            0.015076,           0.0031851,             0.96123,             0.96611,             0.97769,              0.6147,            0.022723,           0.0088809,           0.0022605,            0.002773,            0.002773,            0.002773
                  75,            0.028136,            0.016213,           0.0038073,             0.97215,              0.9511,             0.97273,             0.61834,            0.023545,           0.0087469,           0.0021793,            0.002674,            0.002674,            0.002674
                  76,            0.028089,            0.016027,           0.0034697,             0.97815,             0.95365,             0.97744,              0.6057,             0.02387,           0.0088355,           0.0019685,            0.002575,            0.002575,            0.002575
                  77,            0.027036,            0.015696,           0.0028419,             0.96991,             0.97448,             0.98507,             0.61673,            0.022884,           0.0088269,            0.001966,            0.002476,            0.002476,            0.002476
                  78,            0.025954,            0.014446,           0.0049355,             0.97603,             0.97404,             0.98826,              0.6158,            0.022139,           0.0087805,           0.0020213,            0.002377,            0.002377,            0.002377
                  79,            0.027842,            0.014367,           0.0030832,             0.96815,             0.97262,             0.98234,             0.60471,            0.022976,           0.0088656,           0.0020004,            0.002278,            0.002278,            0.002278
                  80,            0.026232,             0.01616,           0.0031902,             0.97007,             0.96677,             0.97954,             0.61761,            0.023305,            0.008877,            0.001826,            0.002179,            0.002179,            0.002179
                  81,            0.026897,            0.015084,           0.0029014,             0.97962,             0.95775,              0.9804,             0.62817,            0.022427,           0.0089522,           0.0018043,             0.00208,             0.00208,             0.00208
                  82,            0.026683,            0.014761,           0.0039336,             0.98383,             0.96462,               0.988,             0.61397,            0.023972,           0.0090378,           0.0017873,            0.001981,            0.001981,            0.001981
                  83,            0.027311,            0.015577,            0.003528,             0.97231,             0.96597,             0.98213,             0.62272,            0.023491,           0.0091442,           0.0017689,            0.001882,            0.001882,            0.001882
                  84,            0.026833,              0.0155,           0.0030755,             0.95655,              0.9656,             0.97669,             0.59717,            0.024552,           0.0092216,           0.0017104,            0.001783,            0.001783,            0.001783
                  85,            0.026132,            0.015754,           0.0029361,             0.97242,              0.9588,             0.97706,             0.60922,            0.023015,           0.0091352,           0.0017554,            0.001684,            0.001684,            0.001684
                  86,            0.025042,            0.014554,           0.0028028,             0.96711,             0.96462,             0.97719,             0.61157,            0.023547,           0.0090935,           0.0017802,            0.001585,            0.001585,            0.001585
                  87,            0.024143,            0.014351,           0.0026029,             0.96925,             0.97654,             0.98088,             0.62233,            0.023781,           0.0089924,           0.0018184,            0.001486,            0.001486,            0.001486
                  88,            0.025001,            0.014362,           0.0025093,             0.96684,             0.97654,             0.97831,             0.61454,            0.023626,           0.0090427,            0.001846,            0.001387,            0.001387,            0.001387
                  89,            0.025328,            0.014667,           0.0028741,             0.96496,             0.97602,             0.98142,             0.61515,            0.024149,           0.0090835,           0.0018645,            0.001288,            0.001288,            0.001288
                  90,             0.02629,              0.0149,            0.002814,             0.96504,             0.97541,             0.98028,             0.61739,            0.024522,           0.0091223,           0.0018642,            0.001189,            0.001189,            0.001189
                  91,            0.024824,            0.014005,             0.00241,             0.97322,              0.9802,             0.98484,             0.61359,            0.023896,           0.0091065,           0.0017721,             0.00109,             0.00109,             0.00109
                  92,            0.025243,             0.01548,           0.0030591,             0.97429,             0.98015,             0.98372,             0.62846,            0.023467,           0.0090847,            0.001755,            0.000991,            0.000991,            0.000991
                  93,            0.023979,            0.013983,           0.0031396,             0.97025,             0.97518,             0.98294,              0.6298,            0.022802,           0.0090499,           0.0017286,            0.000892,            0.000892,            0.000892
                  94,            0.024684,            0.014587,           0.0030387,             0.96281,             0.96816,             0.97787,             0.61776,            0.022869,           0.0090473,           0.0017574,            0.000793,            0.000793,            0.000793
                  95,            0.025703,            0.013943,           0.0045627,             0.95983,              0.9694,             0.97668,             0.61895,            0.023169,           0.0091043,             0.00173,            0.000694,            0.000694,            0.000694
                  96,            0.024525,            0.015448,            0.002447,             0.96686,             0.97654,             0.98252,             0.62253,            0.023108,           0.0090932,           0.0017376,            0.000595,            0.000595,            0.000595
                  97,            0.023807,            0.015016,           0.0021984,             0.96904,             0.97442,             0.98272,             0.62422,            0.022646,           0.0090887,           0.0017605,            0.000496,            0.000496,            0.000496
                  98,            0.022989,            0.014316,           0.0017451,             0.96792,             0.97821,             0.98292,              0.6201,            0.022448,           0.0090834,           0.0017714,            0.000397,            0.000397,            0.000397
                  99,            0.024245,            0.014316,           0.0028388,             0.96902,             0.97835,              0.9836,             0.62656,            0.022548,           0.0090987,           0.0017677,            0.000298,            0.000298,            0.000298
